ID,Unvocalized,Vocalized,Root,Normalized,Triliteral,Past,Future,Imperative,Passive,Madhi,Mudhari,Amar,Madhi_from_Vocalized,Mudhari_from_Vocalized,Amar_from_Vocalized
2211,غدف,غَدَفَ,غدف,غدف,1,1,1,1,0,غدف,يغدف,اغدف,غَدَفَ,يغدف,اغدف
2212,فطر,فَطَرَ,فطر,فطر,1,1,1,1,0,فطر,يفطر,افطر,فَطَرَ,يفطر,افطر
2213,رحم,رَحُمَ,رحم,رحم,1,1,1,0,0,رحم,يرحم,ارحم,رَحُمَ,يرحم,ارحم
2214,ركب,رَكَبَ,ركب,ركب,1,0,0,0,0,ركب,يركب,اركب,رَكَبَ,يركب,اركب
2215,نجس,نَجُسَ,نجس,نجس,1,1,1,0,0,نجس,ينجس,انجس,نَجُسَ,ينجس,انجس
2216,وحف,وَحُفَ,وحف,وحف,1,1,1,0,0,وحف,يوحف,اوحف,وَحُفَ,يوحف,اوحف
2217,وعر,وَعُرَ,وعر,وعر,1,1,1,0,0,وعر,يوعر,اوعر,وَعُرَ,يوعر,اوعر
2218,حجر,حَجَرَ,حجر,حجر,1,0,0,0,0,حجر,يحجر,احجر,حَجَرَ,يحجر,احجر
2219,كمت,كَمَتَ,كمت,كمت,1,0,0,0,0,كمت,يكمت,اكمت,كَمَتَ,يكمت,اكمت
2220,عرك,عَرَكَ,عرك,عرك,1,0,0,0,0,عرك,يعرك,اعرك,عَرَكَ,يعرك,اعرك
2221,نفس,نَفَسَ,نفس,نفس,1,0,0,0,0,نفس,ينفس,انفس,نَفَسَ,ينفس,انفس
2222,كثل,كَثَلَ,كثل,كثل,1,0,0,0,0,كثل,يكثل,اكثل,كَثَلَ,يكثل,اكثل
2223,بسق,بَسَقَ,بسق,بسق,1,0,0,0,0,بسق,يبسق,ابسق,بَسَقَ,يبسق,ابسق
2224,حجل,حَجَلَ,حجل,حجل,1,0,0,0,0,حجل,يحجل,احجل,حَجَلَ,يحجل,احجل
2225,رشم,رَشَمَ,رشم,رشم,1,0,0,0,0,رشم,يرشم,ارشم,رَشَمَ,يرشم,ارشم
2226,حرن,حَرُنَ,حرن,حرن,1,1,1,0,0,حرن,يحرن,احرن,حَرُنَ,يحرن,احرن
2227,مزق,مَزَقَ,مزق,مزق,1,0,0,0,0,مزق,يمزق,امزق,مَزَقَ,يمزق,امزق
2228,حلق,حَلَقَ,حلق,حلق,1,1,1,1,0,حلق,يحلق,احلق,حَلَقَ,يحلق,احلق
2229,غضن,غَضَنَ,غضن,غضن,1,0,0,0,0,غضن,يغضن,اغضن,غَضَنَ,يغضن,اغضن
2230,غرب,غَرَبَ,غرب,غرب,1,1,1,1,0,غرب,يغرب,اغرب,غَرَبَ,يغرب,اغرب
2231,سخن,سَخَنَ,سخن,سخن,1,1,1,1,0,سخن,يسخن,اسخن,سَخَنَ,يسخن,اسخن
2232,مصل,مَصَلَ,مصل,مصل,1,0,0,0,0,مصل,يمصل,امصل,مَصَلَ,يمصل,امصل
2233,سجل,سَجَلَ,سجل,سجل,1,0,0,0,0,سجل,يسجل,اسجل,سَجَلَ,يسجل,اسجل
2234,خلف,خَلَفَ,خلف,خلف,1,1,1,1,0,خلف,يخلف,اخلف,خَلَفَ,يخلف,اخلف
2235,نعت,نَعُتَ,نعت,نعت,1,1,1,0,0,نعت,ينعت,انعت,نَعُتَ,ينعت,انعت
2236,رفل,رَفَلَ,رفل,رفل,1,0,0,0,0,رفل,يرفل,ارفل,رَفَلَ,يرفل,ارفل
2237,لزب,لَزُبَ,لزب,لزب,1,1,1,0,0,لزب,يلزب,الزب,لَزُبَ,يلزب,الزب
2238,جنس,جَنَسَ,جنس,جنس,1,1,1,1,0,جنس,يجنس,اجنس,جَنَسَ,يجنس,اجنس
2239,قرق,قَرَقَ,قرق,قرق,1,1,1,1,0,قرق,يقرق,اقرق,قَرَقَ,يقرق,اقرق
2240,دبر,دَبَرَ,دبر,دبر,1,0,0,0,0,دبر,يدبر,ادبر,دَبَرَ,يدبر,ادبر
2241,حرب,حَرَبَ,حرب,حرب,1,0,0,0,0,حرب,يحرب,احرب,حَرَبَ,يحرب,احرب
2242,سكب,سَكَبَ,سكب,سكب,1,0,0,0,0,سكب,يسكب,اسكب,سَكَبَ,يسكب,اسكب
2243,دفق,دَفَقَ,دفق,دفق,1,0,0,0,0,دفق,يدفق,ادفق,دَفَقَ,يدفق,ادفق
2244,قطف,قَطَفَ,قطف,قطف,1,0,0,0,0,قطف,يقطف,اقطف,قَطَفَ,يقطف,اقطف
2245,قسم,قَسُمَ,قسم,قسم,1,1,1,0,0,قسم,يقسم,اقسم,قَسُمَ,يقسم,اقسم
2246,خمد,خَمَدَ,خمد,خمد,1,1,1,1,0,خمد,يخمد,اخمد,خَمَدَ,يخمد,اخمد
2247,زبر,زَبَرَ,زبر,زبر,1,0,0,0,0,زبر,يزبر,ازبر,زَبَرَ,يزبر,ازبر
2248,خبث,خَبُثَ,خبث,خبث,1,1,1,0,0,خبث,يخبث,اخبث,خَبُثَ,يخبث,اخبث
2249,ضخم,ضَخُمَ,ضخم,ضخم,1,1,1,0,0,ضخم,يضخم,اضخم,ضَخُمَ,يضخم,اضخم
2250,حلج,حَلَجَ,حلج,حلج,1,0,0,0,0,حلج,يحلج,احلج,حَلَجَ,يحلج,احلج
2251,نعم,نَعُمَ,نعم,نعم,1,1,1,0,0,نعم,ينعم,انعم,نَعُمَ,ينعم,انعم
2252,عتل,عَتَلَ,عتل,عتل,1,0,0,0,0,عتل,يعتل,اعتل,عَتَلَ,يعتل,اعتل
2253,رفش,رَفَشَ,رفش,رفش,1,1,1,1,0,رفش,يرفش,ارفش,رَفَشَ,يرفش,ارفش
2254,خطب,خَطَبَ,خطب,خطب,1,0,0,0,0,خطب,يخطب,اخطب,خَطَبَ,يخطب,اخطب
2255,دمث,دَمُثَ,دمث,دمث,1,1,1,0,0,دمث,يدمث,ادمث,دَمُثَ,يدمث,ادمث
2256,عنز,عَنَزَ,عنز,عنز,1,0,0,0,0,عنز,يعنز,اعنز,عَنَزَ,يعنز,اعنز
2257,حدث,حَدَثَ,حدث,حدث,1,1,1,1,0,حدث,يحدث,احدث,حَدَثَ,يحدث,احدث
2258,وشك,وَشُكَ,وشك,وشك,1,1,1,0,0,وشك,يوشك,اوشك,وَشُكَ,يوشك,اوشك
2259,سبع,سَبَعَ,سبع,سبع,1,0,0,0,0,سبع,يسبع,اسبع,سَبَعَ,يسبع,اسبع
2260,فسل,فَسَلَ,فسل,فسل,1,0,0,0,0,فسل,يفسل,افسل,فَسَلَ,يفسل,افسل
2261,قذر,قَذَرَ,قذر,قذر,1,0,0,0,0,قذر,يقذر,اقذر,قَذَرَ,يقذر,اقذر
2262,مكث,مَكَثَ,مكث,مكث,1,1,1,1,0,مكث,يمكث,امكث,مَكَثَ,يمكث,امكث
2263,نسب,نَسَبَ,نسب,نسب,1,1,1,1,0,نسب,ينسب,انسب,نَسَبَ,ينسب,انسب
2264,حمض,حَمَضَ,حمض,حمض,1,1,1,1,0,حمض,يحمض,احمض,حَمَضَ,يحمض,احمض
2265,نتش,نَتَشَ,نتش,نتش,1,0,0,0,0,نتش,ينتش,انتش,نَتَشَ,ينتش,انتش
2266,تلع,تَلُعَ,تلع,تلع,1,1,1,0,0,تلع,يتلع,اتلع,تَلُعَ,يتلع,اتلع
2267,ودع,وَدُعَ,ودع,ودع,1,1,1,0,0,ودع,يودع,اودع,وَدُعَ,يودع,اودع
2268,عرش,عَرَشَ,عرش,عرش,1,0,0,0,0,عرش,يعرش,اعرش,عَرَشَ,يعرش,اعرش
2269,نشد,نَشَدَ,نشد,نشد,1,0,0,0,0,نشد,ينشد,انشد,نَشَدَ,ينشد,انشد
2270,سلخ,سَلَخَ,سلخ,سلخ,1,1,1,1,0,سلخ,يسلخ,اسلخ,سَلَخَ,يسلخ,اسلخ
